noc,numeric_id,Total_Gold,Total_Silver,Total_Bronze,Total_Medals,Season_Total_Medals_Winter,Season_Total_Medals_Summer,Gold_summer,Silver_summer,Bronze_summer,Gold_winter,Silver_winter,Bronze_winter
SCG,0,12,26,26,64,0,64,12,26,26,0,0,0
SEN,686,0,1,0,1,0,1,0,1,0,0,0,0
SGP,0,1,4,4,9,0,9,1,4,4,0,0,0
SLO,0,8,13,27,48,18,30,6,9,15,2,4,12
SRB,688,15,29,41,85,0,85,15,29,41,0,0,0
SRI,0,0,2,0,2,0,2,0,2,0,0,0,0
SUD,0,0,1,0,1,0,1,0,1,0,0,0,0
SUI,0,175,248,268,691,275,416,99,178,139,76,70,129
SUR,740,1,0,1,2,0,2,1,0,1,0,0,0
SVK,703,15,19,13,47,5,42,13,17,12,2,2,1
SWE,752,479,522,535,1536,428,1108,354,396,358,125,126,177
SYR,760,1,1,1,3,0,3,1,1,1,0,0,0
TAN,0,0,2,0,2,0,2,0,2,0,0,0,0
TCH,0,81,225,182,488,158,330,79,144,107,2,81,75
TGA,0,0,1,0,1,0,1,0,1,0,0,0,0
THA,764,9,8,13,30,0,30,9,8,13,0,0,0
TJK,762,1,1,2,4,0,4,1,1,2,0,0,0
TOG,0,0,0,1,1,0,1,0,0,1,0,0,0
TPE,0,3,28,18,49,0,49,3,28,18,0,0,0
TTO,780,7,8,17,32,0,32,7,8,17,0,0,0
TUN,788,3,3,7,13,0,13,3,3,7,0,0,0
TUR,792,40,27,28,95,0,95,40,27,28,0,0,0
UAE,0,1,0,1,2,0,2,1,0,1,0,0,0
UAR,0,0,1,1,2,0,2,0,1,1,0,0,0
UGA,800,2,3,2,7,0,7,2,3,2,0,0,0
UKR,804,47,52,100,199,11,188,42,51,95,5,1,5
URS,0,1082,732,689,2503,440,2063,832,635,596,250,97,93
URU,0,31,2,30,63,0,63,31,2,30,0,0,0
USA,840,2638,1641,1358,5637,635,5002,2472,1333,1197,166,308,161
UZB,860,10,7,17,34,1,33,9,7,17,1,0,0
VEN,862,2,3,10,15,0,15,2,3,10,0,0,0
VIE,0,1,3,0,4,0,4,1,3,0,0,0,0
WIF,0,0,0,5,5,0,5,0,0,5,0,0,0
YUG,0,130,167,93,390,7,383,130,161,92,0,6,1
ZAM,0,0,1,1,2,0,2,0,1,1,0,0,0
ZIM,0,17,4,1,22,0,22,17,4,1,0,0,0
