noc,year,season,bronze_medals,gold_medals,silver_medals,total_medals
BLR,1994,Winter,0,0,2,2
BLR,1996,Summer,16,1,6,23
BLR,1998,Winter,2,0,0,2
BLR,2000,Summer,11,3,8,22
BLR,2002,Winter,1,0,0,1
BLR,2004,Summer,8,2,5,15
BLR,2006,Winter,0,0,1,1
BLR,2008,Summer,16,8,5,29
BLR,2010,Winter,1,1,1,3
BLR,2012,Summer,8,3,12,23
BLR,2014,Winter,1,5,0,6
BLR,2016,Summer,7,1,4,12
BOH,1900,Summer,2,0,1,3
BOH,1906,Summer,3,0,0,3
BOH,1908,Summer,6,0,0,6
BOT,2012,Summer,0,0,1,1
BRA,1920,Summer,5,1,1,7
BRA,1948,Summer,10,0,0,10
BRA,1952,Summer,2,1,0,3
BRA,1956,Summer,0,1,0,1
BRA,1960,Summer,13,0,0,13
BRA,1964,Summer,12,0,0,12
BRA,1968,Summer,3,0,1,4
BRA,1972,Summer,2,0,0,2
BRA,1976,Summer,3,0,0,3
BRA,1980,Summer,5,4,0,9
BRA,1984,Summer,2,1,33,36
BRA,1988,Summer,5,1,17,23
BRA,1992,Summer,0,13,1,14
BRA,1996,Summer,43,5,15,63
BRA,2000,Summer,36,0,12,48
BRA,2004,Summer,3,18,19,40
BRA,2008,Summer,30,14,34,78
BRA,2012,Summer,11,14,34,59
BRA,2016,Summer,6,36,8,50
BRN,2012,Summer,1,0,0,1
BRN,2016,Summer,0,1,1,2
BUL,1952,Summer,1,0,0,1
BUL,1956,Summer,14,1,3,18
BUL,1960,Summer,3,1,3,7
BUL,1964,Summer,2,3,5,10
BUL,1968,Summer,3,2,21,26
BUL,1972,Summer,6,6,10,22
BUL,1976,Summer,18,8,13,39
BUL,1980,Summer,38,8,44,90
BUL,1980,Winter,1,0,0,1
BUL,1988,Summer,17,10,14,41
BUL,1992,Summer,7,3,7,17
BUL,1996,Summer,6,3,12,21
BUL,1998,Winter,0,1,0,1
BUL,2000,Summer,2,5,6,13
BUL,2002,Winter,2,0,1,3
BUL,2004,Summer,14,2,1,17
BUL,2006,Winter,0,0,1,1
BUL,2008,Summer,3,1,1,5
BUL,2012,Summer,1,0,1,2
BUL,2016,Summer,6,0,1,7
CAN,1900,Summer,1,1,0,2
CAN,1904,Summer,12,27,9,48
CAN,1906,Summer,0,1,1,2
CAN,1908,Summer,30,14,8,52
CAN,1912,Summer,3,3,2,8
CAN,1920,Summer,3,10,3,16
CAN,1924,Summer,1,0,19,20
CAN,1924,Winter,0,9,0,9
CAN,1928,Summer,21,7,5,33
CAN,1928,Winter,0,12,0,12
CAN,1932,Summer,24,2,13,39
CAN,1932,Winter,5,14,1,20
CAN,1936,Summer,9,1,12,22
CAN,1936,Winter,0,0,13,13
CAN,1948,Summer,5,0,2,7
CAN,1948,Winter,2,13,0,15
CAN,1952,Summer,0,1,3,4
CAN,1952,Winter,1,16,0,17
CAN,1956,Summer,5,5,9,19
CAN,1956,Winter,18,0,2,20
CAN,1960,Summer,0,0,9,9
CAN,1960,Winter,1,3,17,21
CAN,1964,Summer,1,2,2,5
CAN,1964,Winter,1,4,2,7
CAN,1968,Summer,4,3,3,10
CAN,1968,Winter,18,1,1,20
CAN,1972,Summer,9,0,2,11
CAN,1972,Winter,0,0,1,1
CAN,1976,Summer,14,0,9,23
CAN,1976,Winter,1,1,1,3
CAN,1980,Winter,1,0,1,2
CAN,1984,Summer,32,19,36,87
CAN,1984,Winter,1,2,1,4
CAN,1988,Summer,14,4,5,23
CAN,1988,Winter,4,0,2,6
CAN,1992,Summer,12,27,5,44
CAN,1992,Winter,3,5,28,36
CAN,1994,Winter,5,3,29,37
CAN,1996,Summer,12,8,30,50
CAN,1998,Winter,7,14,28,49
CAN,2000,Summer,23,4,4,31
CAN,2002,Winter,15,52,7,74
CAN,2004,Summer,4,3,10,17
CAN,2006,Winter,11,30,28,69
CAN,2008,Summer,11,11,13,35
CAN,2010,Winter,8,67,15,90
CAN,2012,Summer,33,1,21,55
CAN,2014,Winter,5,59,22,86
CAN,2016,Summer,61,4,4,69
CHI,1928,Summer,0,0,1,1
CHI,1952,Summer,0,0,4,4
CHI,1956,Summer,2,0,2,4
CHI,1988,Summer,0,0,1,1
CHI,2000,Summer,17,0,0,17
CHI,2004,Summer,1,3,0,4
CHI,2008,Summer,0,0,1,1
CHN,1984,Summer,37,24,13,74
CHN,1988,Summer,30,6,16,52
CHN,1992,Summer,19,18,45,82
CHN,1992,Winter,0,0,3,3
CHN,1994,Winter,2,0,1,3
CHN,1996,Summer,17,19,70,106
CHN,1998,Winter,5,0,9,14
CHN,2000,Summer,17,39,23,79
CHN,2002,Winter,9,2,5,16
CHN,2004,Summer,15,52,27,94
CHN,2006,Winter,6,2,5,13
CHN,2008,Summer,57,74,53,184
CHN,2010,Winter,7,9,3,19
CHN,2012,Summer,29,56,40,125
CHN,2014,Winter,5,3,4,12
CHN,2016,Summer,37,46,30,113
CIV,1984,Summer,0,0,1,1
CIV,2016,Summer,1,1,0,2
CMR,1968,Summer,0,0,1,1
CMR,1984,Summer,1,0,0,1
CMR,2000,Summer,0,18,0,18
CMR,2004,Summer,0,1,0,1
CMR,2008,Summer,0,1,0,1
COL,1900,Summer,0,0,1,1
COL,1972,Summer,2,0,1,3
COL,1984,Summer,0,0,1,1
COL,1988,Summer,1,0,0,1
COL,1992,Summer,1,0,0,1
COL,2000,Summer,0,1,0,1
COL,2004,Summer,2,0,0,2
COL,2008,Summer,1,0,1,2
COL,2012,Summer,4,1,3,8
COL,2016,Summer,3,3,2,8
CRC,1988,Summer,0,0,1,1
CRC,1996,Summer,0,1,0,1
CRC,2000,Summer,2,0,0,2
CRO,1992,Summer,3,0,12,15
CRO,1996,Summer,0,16,12,28
CRO,2000,Summer,9,1,0,10
CRO,2002,Winter,0,3,1,4
CRO,2004,Summer,3,15,3,21
CRO,2006,Winter,0,1,2,3
CRO,2008,Summer,3,0,2,5
CRO,2010,Winter,1,0,2,3
CRO,2012,Summer,16,15,4,35
CRO,2014,Winter,0,0,1,1
CRO,2016,Summer,2,7,15,24
CUB,1900,Summer,0,1,1,2
CUB,1904,Summer,0,5,0,5
CUB,1948,Summer,0,0,2,2
CUB,1964,Summer,0,0,1,1
CUB,1968,Summer,0,0,10,10
CUB,1972,Summer,18,3,1,22
CUB,1976,Summer,14,6,4,24
CUB,1980,Summer,5,8,7,20
CUB,1992,Summer,14,42,13,69
CUB,1996,Summer,10,37,8,55
CUB,2000,Summer,12,18,35,65
CUB,2004,Summer,22,32,8,62
CUB,2008,Summer,11,2,34,47
CUB,2012,Summer,6,5,3,14
CUB,2016,Summer,4,5,2,11
CYP,2012,Summer,0,0,1,1
CZE,1996,Summer,4,4,5,13
CZE,1998,Winter,1,21,1,23
CZE,2000,Summer,4,2,3,9
CZE,2002,Winter,0,1,2,3
CZE,2004,Summer,6,1,6,13
CZE,2006,Winter,24,1,2,27
CZE,2008,Summer,0,3,4,7
CZE,2010,Winter,7,2,0,9
CZE,2012,Summer,6,4,4,14
CZE,2014,Winter,2,2,7,11
CZE,2016,Summer,12,1,2,15
DEN,1896,Summer,3,1,2,6
DEN,1900,Summer,2,4,3,9
DEN,1906,Summer,1,14,19,34
DEN,1908,Summer,3,0,14,17
DEN,1912,Summer,33,5,49,87
DEN,1920,Summer,1,26,44,71
DEN,1924,Summer,3,2,9,14
DEN,1928,Summer,4,6,5,15
DEN,1932,Summer,4,0,7,11
DEN,1936,Summer,3,0,3,6
DEN,1948,Summer,27,7,17,51
DEN,1952,Summer,5,3,1,9
DEN,1956,Summer,1,1,4,6
DEN,1960,Summer,4,2,17,23
DEN,1964,Summer,4,7,1,12
DEN,1968,Summer,6,5,6,17
DEN,1972,Summer,0,1,0,1
DEN,1976,Summer,5,3,0,8
DEN,1980,Summer,2,4,2,8
DEN,1984,Summer,10,0,3,13
DEN,1988,Summer,3,3,1,7
DEN,1992,Summer,9,3,2,14
DEN,1996,Summer,1,21,1,23
DEN,1998,Winter,0,0,5,5
DEN,2000,Summer,4,18,3,25
DEN,2004,Summer,9,19,1,29
DEN,2008,Summer,6,6,7,19
DEN,2012,Summer,8,3,5,16
DEN,2016,Summer,16,15,10,41
DJI,1988,Summer,1,0,0,1
DOM,1984,Summer,1,0,0,1
DOM,2004,Summer,0,1,0,1
DOM,2008,Summer,0,1,1,2
DOM,2012,Summer,0,1,1,2
DOM,2016,Summer,1,0,0,1
ECU,1996,Summer,0,1,0,1
ECU,2008,Summer,0,0,1,1
EGY,1928,Summer,1,2,1,4
EGY,1936,Summer,2,2,1,5
EGY,1948,Summer,1,2,2,5
EGY,1952,Summer,1,0,0,1
EGY,1984,Summer,0,0,1,1
EGY,2004,Summer,3,1,1,5
EGY,2008,Summer,1,0,0,1
EGY,2012,Summer,0,0,2,2
EGY,2016,Summer,3,0,0,3
ERI,2004,Summer,1,0,0,1
ESP,1900,Summer,0,2,0,2
ESP,1920,Summer,0,0,23,23
ESP,1928,Summer,0,3,0,3
ESP,1932,Summer,1,0,0,1
ESP,1948,Summer,0,0,3,3
ESP,1952,Summer,0,0,1,1
ESP,1960,Summer,14,0,0,14
ESP,1972,Summer,1,0,0,1
ESP,1972,Winter,0,1,0,1
ESP,1976,Summer,0,0,6,6
ESP,1980,Summer,3,2,19,24
ESP,1984,Summer,3,2,14,19
ESP,1988,Summer,2,1,2,5
ESP,1992,Summer,2,48,19,69
ESP,1992,Winter,1,0,0,1
ESP,1996,Summer,22,23,21,66
ESP,2000,Summer,20,3,19,42
ESP,2004,Summer,9,4,17,30
ESP,2008,Summer,16,7,47,70
ESP,2012,Summer,25,5,33,63
ESP,2016,Summer,17,9,19,45
EST,1920,Summer,0,1,2,3
EST,1924,Summer,4,1,1,6
EST,1928,Summer,6,2,1,9
EST,1936,Summer,3,2,2,7
EST,1992,Summer,2,1,0,3
EST,2000,Summer,2,1,0,3
EST,2002,Winter,1,1,1,3
EST,2004,Summer,2,0,1,3
EST,2006,Winter,0,3,0,3
EST,2008,Summer,0,1,2,3
EST,2010,Winter,0,0,1,1
EST,2012,Summer,1,0,1,2
EST,2016,Summer,4,0,0,4
ETH,1960,Summer,0,1,0,1
ETH,1964,Summer,0,1,0,1
ETH,1968,Summer,0,1,1,2
ETH,1972,Summer,2,0,0,2
ETH,1980,Summer,2,2,0,4
ETH,1992,Summer,2,1,0,3
ETH,1996,Summer,1,2,0,3
ETH,2000,Summer,3,4,1,8
ETH,2004,Summer,2,2,3,7
ETH,2008,Summer,2,4,1,7
ETH,2012,Summer,3,3,1,7
ETH,2016,Summer,5,1,2,8
EUN,1992,Summer,67,92,61,220
EUN,1992,Winter,14,35,10,59
FIJ,2016,Summer,0,13,0,13
FIN,1906,Summer,1,2,1,4
FIN,1908,Summer,28,1,1,30
FIN,1912,Summer,22,9,40,71
FIN,1920,Summer,17,21,14,52
FIN,1924,Summer,15,24,13,52
FIN,1924,Winter,3,4,8,15
FIN,1928,Summer,9,8,8,25
FIN,1928,Winter,1,2,1,4
FIN,1932,Summer,16,5,8,29
FIN,1932,Winter,1,1,1,3
FIN,1936,Summer,13,8,6,27
FIN,1936,Winter,3,4,2,9
FIN,1948,Summer,8,17,8,33
FIN,1948,Winter,2,1,6,9
FIN,1952,Summer,29,8,3,40
FIN,1952,Winter,2,6,4,12
FIN,1956,Summer,22,3,1,26
FIN,1956,Winter,1,5,6,12
FIN,1960,Summer,4,1,1,6
FIN,1960,Winter,5,5,3,13
FIN,1964,Summer,2,3,0,5
FIN,1964,Winter,5,3,7,15
FIN,1968,Summer,1,1,2,4
FIN,1968,Winter,5,1,2,8
FIN,1972,Summer,6,3,1,10
FIN,1972,Winter,1,0,9,10
FIN,1976,Summer,0,4,2,6
FIN,1976,Winter,1,5,10,16
FIN,1980,Summer,5,3,1,9
FIN,1980,Winter,6,1,5,12
FIN,1984,Summer,6,4,2,12
FIN,1984,Winter,12,4,3,19
FIN,1988,Summer,2,1,1,4
FIN,1988,Winter,5,7,22,34
FIN,1992,Summer,2,1,4,7
FIN,1992,Winter,6,6,1,13
FIN,1994,Winter,29,0,1,30
FIN,1996,Summer,1,1,2,4
FIN,1998,Winter,49,2,7,58
FIN,2000,Summer,1,3,1,5
FIN,2002,Winter,1,7,5,13
FIN,2004,Summer,0,0,2,2
FIN,2006,Winter,7,0,34,41
FIN,2008,Summer,2,1,2,5
FIN,2010,Winter,46,0,1,47
FIN,2012,Summer,4,0,1,5
FIN,2014,Winter,24,2,7,33
FIN,2016,Summer,1,0,0,1
FRA,1896,Summer,2,5,4,11
FRA,1900,Summer,82,52,101,235
FRA,1904,Summer,0,0,2,2
FRA,1906,Summer,28,20,16,64
FRA,1908,Summer,23,12,5,40
FRA,1912,Summer,5,10,11,26
FRA,1920,Summer,57,13,71,141
FRA,1924,Summer,22,37,51,110
FRA,1924,Winter,10,0,0,10
FRA,1928,Summer,14,12,24,50
FRA,1928,Winter,0,2,0,2
FRA,1932,Summer,6,26,8,40
FRA,1932,Winter,0,2,0,2
FRA,1936,Summer,18,13,13,44
FRA,1936,Winter,1,0,0,1
FRA,1948,Summer,24,26,22,72
FRA,1948,Winter,2,2,1,5
FRA,1952,Summer,17,14,9,40
FRA,1952,Winter,1,0,0,1
FRA,1956,Summer,13,7,13,33
FRA,1960,Summer,6,0,6,12
FRA,1960,Winter,2,1,0,3
FRA,1964,Summer,17,1,13,31
FRA,1964,Winter,0,3,4,7
FRA,1968,Summer,10,12,5,27
FRA,1968,Winter,2,4,3,9
FRA,1972,Summer,15,2,5,22
FRA,1972,Winter,2,0,1,3
FRA,1976,Summer,8,5,7,20
FRA,1976,Winter,1,0,0,1
FRA,1980,Summer,6,18,5,29
FRA,1980,Winter,1,0,0,1
FRA,1984,Summer,31,20,16,67
FRA,1984,Winter,2,0,1,3
FRA,1988,Summer,13,12,4,29
FRA,1988,Winter,1,1,0,2
FRA,1992,Summer,43,9,5,57
FRA,1992,Winter,1,5,6,12
FRA,1994,Winter,10,0,1,11
FRA,1996,Summer,20,21,10,51
FRA,1998,Winter,12,2,1,15
FRA,2000,Summer,14,22,30,66
FRA,2002,Winter,5,5,5,15
FRA,2004,Summer,22,21,10,53
FRA,2006,Winter,10,3,2,15
FRA,2008,Summer,28,25,24,77
FRA,2010,Winter,6,2,6,14
FRA,2012,Summer,22,30,30,82
FRA,2014,Winter,10,4,4,18
FRA,2016,Summer,21,20,55,96
FRG,1968,Summer,18,17,16,51
FRG,1968,Winter,5,2,3,10
FRG,1972,Summer,39,44,19,102
FRG,1972,Winter,4,4,2,10
FRG,1976,Summer,32,21,25,78
FRG,1976,Winter,23,2,7,32
FRG,1980,Winter,6,0,2,8
FRG,1984,Summer,53,30,75,158
FRG,1984,Winter,4,3,1,8
FRG,1988,Summer,46,32,37,115
FRG,1988,Winter,3,4,7,14
GAB,2012,Summer,0,0,1,1
GBR,1896,Summer,3,3,3,9
GBR,1900,Summer,15,59,34,108
GBR,1904,Summer,0,1,1,2
GBR,1906,Summer,8,9,22,39
GBR,1908,Summer,90,147,131,368
GBR,1912,Summer,59,47,64,170
GBR,1920,Summer,17,52,42,111
GBR,1924,Summer,19,15,30,64
GBR,1924,Winter,11,16,4,31
GBR,1928,Summer,24,7,27,58
GBR,1928,Winter,1,0,0,1
GBR,1932,Summer,14,9,12,35
GBR,1936,Summer,8,12,16,36
GBR,1936,Winter,4,12,1,17
GBR,1948,Summer,12,7,42,61
GBR,1948,Winter,2,0,0,2
GBR,1952,Summer,26,3,2,31
GBR,1952,Winter,0,1,0,1
GBR,1956,Summer,22,8,16,46
GBR,1960,Summer,15,2,11,28
GBR,1964,Summer,5,4,19,28
GBR,1964,Winter,0,2,0,2
GBR,1968,Summer,5,9,5,19
GBR,1972,Summer,12,8,9,29
GBR,1976,Summer,11,6,15,32
GBR,1976,Winter,0,1,0,1
GBR,1980,Summer,24,5,18,47
GBR,1980,Winter,0,1,0,1
GBR,1984,Summer,42,9,20,71
GBR,1984,Winter,0,2,0,2
GBR,1988,Summer,15,22,17,54
GBR,1992,Summer,39,8,3,50
GBR,1994,Winter,3,0,0,3
GBR,1996,Summer,9,2,15,26
GBR,1998,Winter,4,0,0,4
GBR,2000,Summer,12,22,20,54
GBR,2002,Winter,1,5,0,6
GBR,2004,Summer,15,17,25,57
GBR,2006,Winter,0,0,1,1
GBR,2008,Summer,25,31,25,81
GBR,2010,Winter,0,1,0,1
GBR,2012,Summer,48,48,30,126
GBR,2014,Winter,5,1,4,10
GBR,2016,Summer,26,64,55,145
GDR,1968,Summer,19,13,20,52
GDR,1968,Winter,2,2,2,6
GDR,1972,Summer,57,30,64,151
GDR,1972,Winter,12,5,3,20
GDR,1976,Summer,42,102,51,195
GDR,1976,Winter,14,12,6,32
GDR,1980,Summer,61,115,88,264
GDR,1980,Winter,12,16,11,39
GDR,1984,Winter,7,13,13,33
GDR,1988,Summer,48,79,54,181
GDR,1988,Winter,7,10,15,32
GEO,1996,Summer,2,0,0,2
GEO,2000,Summer,6,0,0,6
GEO,2004,Summer,0,2,2,4
GEO,2008,Summer,3,3,0,6
GEO,2012,Summer,3,1,3,7
GEO,2016,Summer,4,2,1,7
GER,1896,Summer,2,25,5,32
GER,1900,Summer,11,14,20,45
GER,1904,Summer,7,4,5,16
GER,1906,Summer,6,14,10,30
GER,1908,Summer,6,4,11,21
GER,1912,Summer,23,11,19,53
GER,1928,Summer,41,21,15,77
GER,1928,Winter,5,0,0,5
GER,1932,Summer,7,10,26,43
GER,1932,Winter,14,0,0,14
GER,1936,Summer,61,93,70,224
GER,1936,Winter,0,4,3,7
GER,1952,Summer,26,0,14,40
GER,1952,Winter,2,8,2,12
GER,1956,Summer,23,9,20,52
GER,1956,Winter,1,1,0,2
GER,1960,Summer,22,34,33,89
GER,1960,Winter,1,4,4,9
GER,1964,Summer,50,22,44,116
GER,1964,Winter,3,3,4,10
GER,1992,Summer,60,81,57,198
GER,1992,Winter,7,14,17,38
GER,1994,Winter,12,18,10,40
GER,1996,Summer,47,42,35,124
GER,1998,Winter,10,22,12,44
GER,2000,Summer,64,31,23,118
GER,2002,Winter,12,26,23,61
GER,2004,Summer,63,41,45,149
GER,2006,Winter,6,23,25,54
GER,2008,Summer,41,42,16,99
GER,2010,Winter,15,15,24,54
GER,2012,Summer,22,45,27,94
GER,2014,Winter,9,15,12,36
GER,2016,Summer,67,49,43,159
GHA,1960,Summer,0,0,1,1
GHA,1964,Summer,1,0,0,1
GHA,1972,Summer,1,0,0,1
GHA,1992,Summer,20,0,0,20
GRE,1896,Summer,20,10,18,48
GRE,1904,Summer,1,1,0,2
GRE,1906,Summer,30,24,48,102
GRE,1908,Summer,1,0,3,4
GRE,1912,Summer,1,1,0,2
GRE,1920,Summer,0,0,5,5
GRE,1924,Summer,0,1,0,1
GRE,1956,Summer,1,0,0,1
GRE,1960,Summer,0,3,0,3
GRE,1968,Summer,1,0,0,1
GRE,1972,Summer,0,0,2,2
GRE,1980,Summer,4,1,0,5
GRE,1984,Summer,1,0,1,2
GRE,1988,Summer,1,0,0,1
GRE,1992,Summer,0,2,0,2
GRE,1996,Summer,0,4,4,8
GRE,2000,Summer,8,4,6,18
GRE,2004,Summer,5,8,18,31
GRE,2008,Summer,4,0,3,7
GRE,2012,Summer,3,0,0,3
GRE,2016,Summer,3,3,1,7
GRN,2012,Summer,0,1,0,1
GRN,2016,Summer,0,0,1,1
GUA,2012,Summer,0,0,1,1
GUY,1980,Summer,1,0,0,1
HAI,1900,Summer,0,1,0,1
HAI,1924,Summer,5,0,0,5
HAI,1928,Summer,0,0,1,1
HKG,1996,Summer,0,1,0,1
HKG,2004,Summer,0,0,2,2
HKG,2012,Summer,1,0,0,1
HUN,1896,Summer,3,2,1,6
HUN,1900,Summer,2,1,2,5
HUN,1904,Summer,1,2,1,4
HUN,1906,Summer,3,5,5,13
HUN,1908,Summer,6,7,7,20
HUN,1912,Summer,3,10,17,30
HUN,1924,Summer,8,2,12,22
HUN,1928,Summer,0,10,11,21
HUN,1932,Summer,8,20,5,33
HUN,1932,Winter,2,0,0,2
HUN,1936,Summer,15,25,1,41
HUN,1936,Winter,2,0,0,2
HUN,1948,Summer,22,15,25,62
HUN,1948,Winter,0,0,2,2
HUN,1952,Summer,32,53,17,102
HUN,1952,Winter,2,0,0,2
HUN,1956,Summer,14,30,20,64
HUN,1956,Winter,2,0,0,2
HUN,1960,Summer,37,13,16,66
HUN,1964,Summer,7,42,7,56
HUN,1968,Summer,29,32,20,81
HUN,1972,Summer,25,10,46,81
HUN,1976,Summer,35,14,6,55
HUN,1980,Summer,40,8,13,61
HUN,1980,Winter,0,0,2,2
HUN,1988,Summer,15,20,9,44
HUN,1992,Summer,8,14,23,45
HUN,1996,Summer,26,8,9,43
HUN,2000,Summer,4,25,24,53
HUN,2004,Summer,4,24,12,40
HUN,2008,Summer,3,16,8,27
HUN,2012,Summer,6,12,8,26
HUN,2016,Summer,7,12,3,22
INA,1988,Summer,0,0,3,3
INA,1992,Summer,1,2,3,6
INA,1996,Summer,3,2,1,6
INA,2000,Summer,2,2,4,8
INA,2004,Summer,3,1,1,5
INA,2008,Summer,3,2,2,7
INA,2012,Summer,1,0,1,2
INA,2016,Summer,0,2,2,4
IND,1900,Summer,0,0,2,2
IND,1924,Winter,0,7,0,7
IND,1928,Summer,0,14,0,14
IND,1932,Summer,0,15,0,15
IND,1936,Summer,0,19,0,19
